n_errors,recovery_mean,recovery_std,recovery_min,recovery_max
0,1.0000,0.0000,1.0000,1.0000
1,0.9876,0.0185,0.9600,1.0000
2,0.9716,0.0273,0.9200,1.0000
3,0.9510,0.0324,0.8800,1.0000
4,0.9358,0.0353,0.8400,1.0000
5,0.9176,0.0501,0.8000,1.0000
6,0.8910,0.0509,0.7600,1.0000
7,0.8744,0.0503,0.7600,0.9600
8,0.8466,0.0632,0.6800,0.9600
9,0.8046,0.0591,0.6800,0.9600
10,0.7724,0.0683,0.6000,0.9200
11,0.7264,0.0685,0.5200,0.8800
12,0.6828,0.0723,0.5200,0.8400
13,0.6392,0.0714,0.4400,0.8000
14,0.5892,0.0744,0.3600,0.7600
15,0.5330,0.0696,0.3600,0.7200
16,0.4710,0.0713,0.3200,0.6000
17,0.4152,0.0671,0.2800,0.6400
18,0.3538,0.0622,0.2000,0.5200
19,0.2978,0.0604,0.2000,0.4000
20,0.2390,0.0542,0.0800,0.3600
21,0.1812,0.0468,0.0800,0.3200
22,0.1282,0.0382,0.0400,0.2000
23,0.0818,0.0251,0.0000,0.1600
24,0.0374,0.0099,0.0000,0.0400
25,0.0000,0.0000,0.0000,0.0000
